time,raw_bytes,P299_Com_bCrCtlInhib,P299_Com_bCrCtlInhib_recalculated,P299_Com_bCrCtlInhib_ok,all_checksums_ok,P337_Com_stPrkBrk
5.234,00 00 00 00 80 91 00 0B,0,0,True,True,0
5.253,00 00 00 00 80 71 00 1C,0,0,True,True,0
5.274,00 00 00 00 80 C1 00 26,0,0,True,True,0
5.294,00 00 00 00 80 F1 00 32,0,0,True,True,0
5.313,00 00 00 00 80 B1 00 45,0,0,True,True,0
5.334,00 00 00 00 80 81 00 57,0,0,True,True,0
5.354,00 00 00 00 80 81 00 66,0,0,True,True,0
5.373,00 00 00 00 80 C1 00 71,0,0,True,True,0
5.394,00 00 00 00 80 E1 00 8E,0,0,True,True,0
5.414,00 00 00 00 80 91 00 92,0,0,True,True,0
5.434,00 00 00 00 80 91 00 A1,0,0,True,True,0
5.454,00 00 00 00 80 C1 00 BD,0,0,True,True,0
5.473,00 00 00 00 80 C1 00 CC,0,0,True,True,0
5.494,00 00 00 00 80 81 00 DF,0,0,True,True,0
5.514,00 00 00 00 80 71 00 EF,0,0,True,True,0
5.533,00 00 00 00 80 C1 00 F9,0,0,True,True,0
5.553,00 00 00 00 80 B1 00 09,0,0,True,True,0
5.574,00 00 00 00 80 51 00 1E,0,0,True,True,0
5.594,00 00 00 00 80 71 00 2B,0,0,True,True,0
5.613,00 00 00 00 81 21 00 3E,0,0,True,True,0
5.633,00 00 00 00 81 01 00 4F,0,0,True,True,0
5.653,00 00 00 00 80 B1 00 54,0,0,True,True,0
5.674,00 00 00 00 80 B1 00 63,0,0,True,True,0
5.693,00 00 00 00 80 E1 00 7F,0,0,True,True,0
5.714,00 00 00 00 80 E1 00 8E,0,0,True,True,0
5.733,00 00 00 00 80 C1 00 9F,0,0,True,True,0
5.754,00 00 00 00 80 E1 00 AC,0,0,True,True,0
5.774,00 00 00 00 81 01 00 B8,0,0,True,True,0
5.793,00 00 00 00 81 61 00 C1,0,0,True,True,0
5.814,00 00 00 00 80 C1 00 DB,0,0,True,True,0
5.833,00 00 00 00 80 51 00 E1,0,0,True,True,0
5.854,00 00 00 00 80 81 00 FD,0,0,True,True,0
5.874,00 00 00 00 81 31 00 00,0,0,True,True,0
5.893,00 00 00 00 80 F1 00 14,0,0,True,True,0
5.914,00 00 00 00 80 31 00 2F,0,0,True,True,0
